sandwich_name,sandwich_description,restaurant_name,bread_type,sandwich_length,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
#5 Vito,"A tasty Italian sandwich, made with hand-sliced salami, capicola, & provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Vito® comes topped with fresh-sliced lettuce, tomato, onion, oil & vinegar and oregano-basil. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,710,310,34,11,0,85,"1,720",6,6,12,39
#5 Vito,"A tasty Italian sandwich, made with hand-sliced salami, capicola, & provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Vito® comes topped with fresh-sliced lettuce, tomato, onion, oil & vinegar and oregano-basil. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,260",500,500,21,0,165,"3,800",123,11,8,68
#6 The Veggie,"A yummy Veggie sandwich, made with hand-sliced provolone cheese & tasty avocado, topped with mayo, fresh-sliced lettuce, tomato and cucumber. The #6 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. You can also customize your sandwich with any of our Freebies or Add-ons!",Jimmy Johns,Unwich,na,440,330,38,13,0,65,690,7,3,3,18
#6 The Veggie,"A yummy Veggie sandwich, made with hand-sliced provolone cheese & tasty avocado, topped with mayo, fresh-sliced lettuce, tomato and cucumber. The #6 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. You can also customize your sandwich with any of our Freebies or Add-ons!",Jimmy Johns,French Bread,8 Inch,350,350,39,13,0,65,"1,260",6,6,2,29
#6 The Veggie,"A yummy Veggie sandwich, made with hand-sliced provolone cheese & tasty avocado, topped with mayo, fresh-sliced lettuce, tomato and cucumber. The #6 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. You can also customize your sandwich with any of our Freebies or Add-ons!",Jimmy Johns,Think-Sliced Wheat,na,810,420,46,13,0,65,"1,080",6,6,11,34
#6 The Veggie,"A yummy Veggie sandwich, made with hand-sliced provolone cheese & tasty avocado, topped with mayo, fresh-sliced lettuce, tomato and cucumber. The #6 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. You can also customize your sandwich with any of our Freebies or Add-ons!",Jimmy Johns,French Bread,16 Inch,"1,450",700,700,27,0,125,"2,530",120,12,5,57
J.J.B.L.T.,"Made with applewood smoked bacon and served on your choice of fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The J.J.B.L.T.® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,360,290,31,8,0,45,880,4,2,3,15
J.J.B.L.T.,"Made with applewood smoked bacon and served on your choice of fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The J.J.B.L.T.® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,310,310,32,8,0,45,"1,450",5,5,2,26
J.J.B.L.T.,"Made with applewood smoked bacon and served on your choice of fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The J.J.B.L.T.® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,730,370,39,8,0,45,"1,260",5,5,10,31
J.J.B.L.T.,"Made with applewood smoked bacon and served on your choice of fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The J.J.B.L.T.® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,290",610,610,17,0,95,"2,890",114,9,4,51
#7 Spicy East Coast Italian,"A tasty Italian sandwich, made with a double serving of hand-sliced salami, capicola and provolone cheese, topped with easy mayo, hot Jimmy Peppers®, house-made oil & vinegar, oregano-basil and fresh-sliced lettuce, tomato and onion. The #7 is served on gutted, fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,740,520,57,22,0,180,"2,790",11,2,6,45
#7 Spicy East Coast Italian,"A tasty Italian sandwich, made with a double serving of hand-sliced salami, capicola and provolone cheese, topped with easy mayo, hot Jimmy Peppers®, house-made oil & vinegar, oregano-basil and fresh-sliced lettuce, tomato and onion. The #7 is served on gutted, fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,540,540,59,22,0,180,"3,360",6,6,5,56
#7 Spicy East Coast Italian,"A tasty Italian sandwich, made with a double serving of hand-sliced salami, capicola and provolone cheese, topped with easy mayo, hot Jimmy Peppers®, house-made oil & vinegar, oregano-basil and fresh-sliced lettuce, tomato and onion. The #7 is served on gutted, fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,"1,110",600,65,22,0,180,"3,180",6,6,13,61
#7 Spicy East Coast Italian,"A tasty Italian sandwich, made with a double serving of hand-sliced salami, capicola and provolone cheese, topped with easy mayo, hot Jimmy Peppers®, house-made oil & vinegar, oregano-basil and fresh-sliced lettuce, tomato and onion. The #7 is served on gutted, fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"2,050","1,070","1,070",45,0,355,"6,720",128,11,10,112
#8 Billy Club,"Made with hand-sliced roast beef, smoked ham and provolone cheese, topped with mayo, Dijon mustard, fresh-sliced lettuce and tomato. The #8 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread, or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,460,270,31,10,0,110,"1,660",7,2,4,37
#8 Billy Club,"Made with hand-sliced roast beef, smoked ham and provolone cheese, topped with mayo, Dijon mustard, fresh-sliced lettuce and tomato. The #8 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread, or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,300,300,33,10,0,110,"2,450",6,6,3,52
#8 Billy Club,"Made with hand-sliced roast beef, smoked ham and provolone cheese, topped with mayo, Dijon mustard, fresh-sliced lettuce and tomato. The #8 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread, or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,830,360,39,10,0,110,"2,050",5,5,12,53
#8 Billy Club,"Made with hand-sliced roast beef, smoked ham and provolone cheese, topped with mayo, Dijon mustard, fresh-sliced lettuce and tomato. The #8 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread, or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,710",600,600,19,0,225,"4,900",160,12,7,103
#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,580,400,44,14,0,130,"2,140",11,2,6,35
#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,420,420,46,14,0,130,"2,930",7,7,5,49
#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,950,480,52,14,0,130,"2,530",6,6,13,51
#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,940",840,840,27,0,255,"5,860",168,13,10,99
#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,480,280,32,10,0,130,"1,370",5,2,3,42
#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,310,310,35,10,0,130,"2,150",6,6,2,56
#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,840,360,40,10,0,130,"1,760",5,5,10,58
#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,730",610,610,21,0,255,"4,310",156,12,4,113
